排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
193,WiFi,BK0915,1035.41,-15.33,-1.46,496600096000,1.43,4,23,康希通信,5.02
194,海绵城市,BK0724,877.38,-13.12,-1.47,267031446000,1.64,4,32,伟星新材,2.3
195,阿里概念,BK0689,2222.02,-33.06,-1.47,2777372688000,1.93,23,94,翠微股份,9.97
196,化工原料,BK0512,19404.48,-289.08,-1.47,1026119632000,1.63,5,65,渤海化学,9.93
197,碳纤维,BK1171,1160.12,-17.43,-1.48,324242192000,1.52,6,29,通易航天,4.09
198,LED,BK0580,2925.69,-43.81,-1.48,1223105664000,1.75,11,81,集泰股份,9.96
199,MLOps概念,BK1132,921.66,-13.88,-1.48,161021607000,2.03,2,7,传音控股,1.55
200,快手概念,BK0972,1355.39,-20.45,-1.49,240353480000,4.62,6,24,久其软件,6.14
201,时空大数据,BK1130,1119.3,-16.96,-1.49,185425215000,2.81,4,20,天润科技,6.75
202,国产软件,BK0696,2932.68,-44.32,-1.49,2818378208000,2.83,34,197,恒锋信息,20.0
203,垃圾分类,BK0873,1280.19,-19.31,-1.49,742491088000,1.64,16,81,艾布鲁,4.12
204,猪肉概念,BK0882,1269.91,-19.36,-1.5,890754960000,1.97,7,30,ST天邦,1.89
205,特高压,BK0918,1663.65,-25.28,-1.5,1009444592000,1.35,9,70,天沃科技,10.02
206,贬值受益,BK0812,1210.11,-18.6,-1.51,2132278272000,2.44,27,134,健尔康,10.01
207,区块链,BK0830,950.7,-14.6,-1.51,7814313728000,1.2,43,179,南天信息,6.2
208,土地流转,BK0632,1466.11,-22.54,-1.51,420140400000,2.05,6,36,华茂股份,10.0
209,水产养殖,BK0967,843.96,-13.1,-1.53,237765427000,4.04,5,12,国联水产,2.2
210,人工智能,BK0800,1424.84,-22.09,-1.53,8914995200000,2.31,95,505,华建集团,10.07
211,超清视频,BK0859,1631.22,-25.31,-1.53,2197388512000,1.73,13,84,欧菲光,4.58
212,生态农业,BK0669,1235.87,-19.36,-1.54,240527005000,3.58,8,28,维维股份,9.95
213,ETC,BK0875,1488.75,-23.27,-1.54,352045280000,2.13,8,37,南天信息,6.2
214,华为昇腾,BK0995,1238.83,-19.33,-1.54,446572944000,2.99,5,27,彩讯股份,2.37
215,低空经济,BK1166,1270.07,-19.8,-1.54,3105923344000,2.17,41,199,君亭酒店,11.02
216,电子纸概念,BK1057,934.36,-14.7,-1.55,302854816000,1.18,2,11,京东方Ａ,0.79
217,广电,BK0904,1391.59,-21.94,-1.55,228319162000,1.62,3,24,广西广电,2.5
218,油气设服,BK0606,1515.28,-23.89,-1.55,1663927920000,1.25,6,41,瑞奇智造,8.14
219,单抗概念,BK0870,1429.38,-22.58,-1.56,1498673264000,1.21,7,40,海南海药,6.03
220,可燃冰,BK0818,1106.87,-17.58,-1.56,215932254000,0.89,2,7,中集集团,1.72
221,举牌,BK0685,1983.51,-31.66,-1.57,204243059000,1.31,4,11,苏州银行,2.17
222,太阳能,BK0588,2865.78,-46.12,-1.58,7108856320000,1.46,71,330,天沃科技,10.02
223,页岩气,BK0603,1797.83,-29.0,-1.59,2456313504000,0.43,7,25,中裕科技,3.45
224,信创,BK1104,1593.51,-25.75,-1.59,3350091440000,3.03,34,203,创识科技,20.0
225,核污染防治,BK0983,1148.48,-18.58,-1.59,330781200000,0.94,2,25,普利特,7.53
226,娃哈哈概念,BK1165,1065.9,-17.19,-1.59,90462600000,2.11,2,18,东方材料,10.01
227,新材料,BK0523,23845.15,-386.67,-1.6,3834654800000,1.97,44,303,红 宝 丽,10.06
228,节能环保,BK0494,10404.25,-169.08,-1.6,3512190864000,1.68,56,347,天沃科技,10.02
229,创新药,BK1106,1065.62,-17.36,-1.6,1657256992000,1.77,16,78,立方制药,9.99
230,钛白粉,BK0805,935.2,-15.34,-1.61,144147344000,1.01,2,10,中核钛白,1.71
231,土壤修复,BK1070,737.6,-12.08,-1.61,183305299000,2.39,5,28,宁波能源,2.61
232,EDR概念,BK1049,1414.48,-23.29,-1.62,261483718000,1.76,2,12,鸿泉物联,2.22
233,传感器,BK0905,1526.69,-25.31,-1.63,1359767840000,2.91,12,85,有研新材,6.72
234,被动元件,BK0976,1182.19,-19.59,-1.63,371578272000,1.84,4,23,振华科技,1.27
235,乡村振兴,BK0834,1382.86,-22.97,-1.63,1419121792000,2.72,22,112,恒锋信息,20.0
236,数字孪生,BK0861,1296.65,-21.44,-1.63,894596448000,1.84,12,67,雄帝科技,8.01
237,食品安全,BK0614,5977.9,-98.99,-1.63,354054608000,3.13,8,33,石基信息,4.7
238,空间计算,BK1143,1120.99,-18.56,-1.63,126673354000,2.56,4,20,天润科技,6.75
239,肝炎概念,BK1078,1082.35,-18.08,-1.64,407598752000,2.09,3,42,立方制药,9.99
240,参股新三板,BK0600,2344.74,-39.18,-1.64,1358548512000,2.49,18,86,久其软件,6.14
241,净水概念,BK1068,1046.3,-17.45,-1.64,1111968960000,0.9,3,16,格力电器,0.94
242,胎压监测,BK0898,1933.31,-32.23,-1.64,281212768000,1.7,2,26,天龙股份,4.24
243,钠离子电池,BK0988,1167.2,-19.59,-1.65,1704730880000,1.48,7,45,普利特,7.53
244,预盈预增,BK0571,4260.23,-71.53,-1.65,16451048704000,2.25,197,1102,浔兴股份,9.95
245,预亏预减,BK0570,1751.51,-29.59,-1.66,10512985344000,1.97,175,1097,华资实业,10.05
246,体育产业,BK0708,1135.07,-19.19,-1.66,744530064000,2.18,10,53,浔兴股份,9.95
247,超级电容,BK0703,3288.14,-55.67,-1.66,451591344000,1.54,3,27,振华科技,1.27
248,短剧互动游戏,BK1151,1056.49,-17.95,-1.67,365982432000,2.98,6,22,完美世界,1.79
249,物联网,BK0554,12966.2,-220.37,-1.67,7864796160000,2.14,47,316,渤海化学,9.93
250,电子竞技,BK0853,1218.32,-20.69,-1.67,3098612160000,1.59,6,27,天府文旅,6.83
251,数据要素,BK1135,1014.78,-17.22,-1.67,1699073616000,2.55,19,117,天润科技,6.75
252,C2M概念,BK0955,1150.16,-19.54,-1.67,286869952000,2.14,7,26,慕思股份,1.55
253,网络安全,BK0655,3939.58,-67.24,-1.68,4878940928000,1.82,19,111,南天信息,6.2
254,存储芯片,BK1137,1248.87,-21.37,-1.68,1004123248000,3.27,7,49,大港股份,4.62
255,地下管网,BK1058,883.97,-15.1,-1.68,289079744000,1.4,6,40,伟星新材,2.3
256,锂矿概念,BK1173,1038.68,-17.77,-1.68,2203336224000,1.15,2,32,川能动力,0.97
257,尾气治理,BK0932,1361.18,-23.23,-1.68,225996541000,3.31,3,31,有研新材,6.72
258,流感,BK0906,1400.52,-24.12,-1.69,1258267248000,1.84,12,102,两面针,10.01
259,虚拟数字人,BK1055,1086.37,-18.62,-1.69,3379370640000,2.95,12,69,方直科技,2.44
260,百度概念,BK0845,1517.65,-26.04,-1.69,2394003248000,2.72,25,120,无线传媒,7.38
261,深圳特区,BK0549,28497.79,-491.13,-1.69,8867004672000,1.55,56,287,特  力Ａ,9.99
262,气溶胶检测,BK1065,1234.93,-21.24,-1.69,191935302000,1.33,2,9,ST先河,1.35
263,水利建设,BK0597,1526.12,-26.39,-1.7,1971427280000,1.44,13,85,华建集团,10.07
264,医疗器械概念,BK0668,3343.56,-57.77,-1.7,4378958592000,1.89,40,270,健尔康,10.01
265,全息技术,BK0699,2108.56,-36.36,-1.7,134854492000,1.63,1,10,风语筑,0.34
266,第三代半导体,BK0952,1237.55,-21.35,-1.7,1594658752000,2.3,12,97,北方华创,3.54
267,磁悬浮概念,BK0975,1596.99,-27.86,-1.71,690997344000,1.06,5,24,中国中车,1.15
268,Sora概念,BK1159,1385.71,-24.07,-1.71,318117376000,3.63,5,35,果麦文化,2.81
269,幽门螺杆菌概念,BK1056,809.55,-14.07,-1.71,467072416000,2.29,8,43,美康生物,4.48
270,锂电池,BK0574,2666.14,-46.5,-1.71,7189403136000,1.65,44,342,集泰股份,9.96
271,车联网(车路云),BK0920,1254.57,-21.96,-1.72,5256474880000,1.61,27,189,雄帝科技,8.01
272,手游概念,BK0642,1119.64,-19.54,-1.72,739945712000,2.18,9,39,完美世界,1.79
273,转基因,BK0907,1477.04,-25.83,-1.72,124711143000,4.21,3,14,秋乐种业,2.23
274,人脑工程,BK0706,3836.39,-67.58,-1.73,335518352000,2.89,1,20,创新医疗,2.94
275,医废处理,BK0914,988.31,-17.41,-1.73,194960905000,1.26,3,28,圣元环保,1.94
276,智慧城市,BK0628,4654.72,-81.92,-1.73,2278049424000,2.0,23,190,恒锋信息,20.0
277,军工,BK0490,57566.53,-1014.73,-1.73,5682354944000,2.04,70,419,天沃科技,10.02
278,TOPCon电池,BK1097,624.3,-10.97,-1.73,507220368000,1.27,5,35,通威股份,1.16
279,氦气概念,BK0949,1335.78,-23.54,-1.73,86964368000,5.33,1,10,九丰能源,0.28
280,核能核电,BK0577,1997.42,-35.37,-1.74,2810302624000,1.45,25,109,天沃科技,10.02
281,AI眼镜,BK1178,1517.06,-27.05,-1.75,1141718080000,2.61,6,74,慈文传媒,9.94
282,小米概念,BK0833,1643.29,-29.3,-1.75,2774407168000,2.01,26,176,集泰股份,9.96
283,磷化工,BK1010,632.75,-11.32,-1.76,664865376000,1.48,6,38,晨化股份,5.39
284,长寿药,BK0936,838.58,-15.1,-1.77,118173538000,3.93,1,13,安琪酵母,1.32
285,氟化工,BK0690,2885.41,-52.0,-1.77,534528320000,1.04,3,27,包钢股份,0.57
286,氢能源,BK0864,1022.15,-18.47,-1.77,4244798064000,1.18,34,202,天沃科技,10.02
287,固态电池,BK0968,1485.38,-26.82,-1.77,4958841344000,1.62,22,174,普利特,7.53
288,消毒剂,BK0913,1211.21,-21.78,-1.77,525699824000,1.99,7,52,豪悦护理,4.56
289,量子科技,BK0710,2191.02,-39.78,-1.78,1179481728000,1.75,5,40,海能达,3.0
290,OLED,BK0840,2288.17,-41.37,-1.78,1934140880000,2.16,18,109,有研新材,6.72
