序号,股票代码,股票简称,最新价,量价齐升天数,阶段涨幅,累计换手率,所属行业
436,002065,东华软件,9.31,1,-3.62,6.7,IT服务
437,002083,孚日股份,4.24,1,-2.08,1.57,纺织制造
438,002090,金智科技,8.79,1,-2.01,3.57,电网设备
439,002092,ST中泰,4.35,1,-1.14,0.76,化学原料
440,002093,国脉科技,10.49,1,-2.69,6.18,教育
441,002116,中国海诚,9.88,1,0.82,0.92,建筑装饰
442,002117,东港股份,11.5,1,-1.37,4.47,包装印刷
443,002120,韵达股份,6.96,1,0.29,0.82,物流
444,002127,南极电商,3.99,1,-5.67,9.85,互联网电商
445,002142,宁波银行,24.23,1,0.58,0.48,银行
446,002154,报喜鸟,3.81,1,-4.27,2.52,服装家纺
447,002167,东方锆业,8.32,1,-4.59,6.59,小金属
448,002181,粤传媒,5.21,1,-2.62,2.52,文化传媒
449,002193,如意集团,5.38,1,-3.93,8.53,服装家纺
450,002199,*ST东晶,4.96,1,-3.31,4.96,元件
451,002224,三力士,4.2,1,-3.45,1.49,橡胶制品
452,002228,合兴包装,2.93,1,-2.01,1.03,包装印刷
453,002255,海陆重工,8.05,1,-4.85,27.33,其他电源设备
454,002259,ST升达,2.47,1,3.35,1.16,燃气
455,002261,拓维信息,25.84,1,-2.08,7.21,软件开发
