排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
58,人造肉,BK0866,934.52,14.7,1.6,177861951000,0.6,17,2,四环生物,6.39
59,空间站概念,BK0994,1540.94,23.93,1.58,194655668000,0.5,18,2,天奥电子,8.04
60,尾气治理,BK0932,1454.2,22.24,1.55,244221923000,0.92,30,3,凯美特气,10.06
61,天然气,BK0843,1312.12,20.06,1.55,4797908736000,0.26,112,10,兰石重装,10.0
62,食品安全,BK0614,6089.09,92.67,1.55,366383472000,0.72,38,5,热景生物,9.29
63,养老概念,BK0653,2457.73,37.23,1.54,2832381344000,0.41,103,14,创新医疗,10.01
64,医废处理,BK0914,1048.24,15.77,1.53,206082203000,0.3,29,3,港通医疗,5.64
65,鸡肉概念,BK0887,750.35,11.26,1.52,369539472000,0.3,20,0,巨星农牧,3.2
66,猪肉概念,BK0882,1227.81,18.22,1.51,861092464000,0.32,34,2,回盛生物,14.8
67,核污染防治,BK0983,1236.13,18.24,1.5,345023744000,0.23,26,2,捷强装备,5.19
68,娃哈哈概念,BK1165,1139.66,16.64,1.48,98044627000,1.21,17,3,凯美特气,10.06
69,被动元件,BK0976,1308.58,18.93,1.47,408873072000,0.52,23,4,宏达电子,5.83
70,西部大开发,BK0590,2709.18,38.43,1.44,10926798848000,0.41,493,82,兰石重装,10.0
71,水产养殖,BK0967,821.14,11.64,1.44,238983135000,0.4,16,1,蔚蓝生物,5.75
72,地下管网,BK1058,945.11,13.34,1.43,304267616000,0.52,40,4,地铁设计,6.2
73,页岩气,BK0603,1929.71,26.88,1.41,2540995568000,0.15,26,5,通源石油,7.96
74,装配建筑,BK0945,931.45,12.97,1.41,1388144544000,0.31,73,11,建艺集团,10.0
75,房屋检测,BK1179,1249.16,17.12,1.39,210940118000,0.56,32,5,中设咨询,3.27
76,MLCC,BK0890,1964.9,27.02,1.39,221916731000,0.49,11,3,宏达电子,5.83
77,绿色电力,BK1024,1023.19,13.91,1.38,4694747136000,0.31,118,10,银星能源,9.92
78,啤酒概念,BK1073,1026.72,13.76,1.36,253953461000,0.34,15,2,青岛啤酒,3.0
79,转基因,BK0907,1351.24,18.06,1.35,116449221000,0.2,15,1,托普云农,3.62
80,疫苗冷链,BK0941,1147.45,14.9,1.32,474995408000,0.68,22,4,中科美菱,3.82
81,专精特新,BK1005,1181.52,14.78,1.27,7877251072000,1.0,958,221,凯美特气,10.06
82,口罩,BK0911,1555.07,19.49,1.27,2955399024000,0.59,124,25,冠昊生物,8.18
83,军民融合,BK0808,1554.25,19.21,1.25,2830726944000,0.72,152,26,江龙船艇,8.62
84,中俄贸易概念,BK1072,1338.2,16.36,1.24,473644064000,0.5,51,10,美农生物,13.12
85,北交所概念,BK0925,1584.66,19.28,1.23,308311536000,0.29,23,3,精华制药,3.73
86,氦气概念,BK0949,1420.3,17.2,1.23,92860072000,3.3,7,3,凯美特气,10.06
87,建筑节能,BK1076,865.93,10.54,1.23,194205006000,0.94,35,4,红 宝 丽,5.09
88,创业板综,BK0742,1463.76,17.68,1.22,13134627840000,0.87,1076,275,陇神戎发,20.05
89,预亏预减,BK0570,1860.65,22.34,1.22,11038744576000,0.5,1055,202,中旗新材,10.01
90,轮毂电机,BK1099,980.92,11.66,1.2,61228520000,0.86,7,1,亚太股份,4.84
91,可燃冰,BK0818,1252.27,14.84,1.2,237967222000,0.43,7,2,海默科技,5.44
92,新型城镇化,BK1080,869.62,10.28,1.2,426828576000,0.52,81,17,建艺集团,10.0
93,成渝特区,BK0534,18062.22,213.18,1.19,2259259904000,0.38,68,14,贝瑞基因,6.58
94,QFII重仓,BK0535,16782.89,195.19,1.18,3231312048000,0.41,215,36,日久光电,7.35
95,煤化工,BK0492,8981.17,104.67,1.18,2362321776000,0.27,58,10,兰石重装,10.0
96,快递概念,BK0990,878.19,10.13,1.17,572956944000,0.25,37,3,天顺股份,4.51
97,粤港自贸,BK0677,2905.52,33.46,1.17,1039775856000,0.31,57,15,中旗新材,10.01
98,托育服务,BK1074,684.33,7.85,1.16,56629503000,0.41,10,0,ST易联众,3.08
99,碳交易,BK0966,1446.94,16.4,1.15,2407364896000,0.25,103,18,凯美特气,10.06
100,气溶胶检测,BK1065,1266.38,14.14,1.13,206267032000,0.2,9,2,捷强装备,5.19
101,玻璃基板,BK1175,1349.11,15.06,1.13,485384880000,0.27,30,2,路维光电,6.02
102,超超临界发电,BK1087,1185.83,12.76,1.09,882519744000,0.29,39,3,争光股份,4.25
